Part;Value;Device;Package;Description
3.3V;;REG1117;SOT223;800mA and 1A Low Dropout (LDO) Positive Regulator
ARDUINO-ATMEGA328P;;ARDUINO-PRO-MINI-5.0V;ARDUINO-PRO-MINI;Arduino Pro Mini and compatible devices
IC1;;S-816A40AMC-BAPT2U;SOT-23-5;Linear Regulator Positive 5V 1A 5-Pin SOT-23 T/R - Tape and Reel
Q2;;2SA1213-Y;PW-MINI_TOS;
DB15OUT;;DB15M/90;D-15M/90;
LED;;LED3MM;LED3MM;LED
C1;0.1uf;WCAP-CSGP_0805_885012006082_REFLOW;0805_;WCAP-CSGP Ceramic Capacitors
C2;10uF;10UF-POLAR-EIA3216-16V-10%(TANT);EIA3216;10.0µF polarized capacitors
C5;4.7UF;TANT CAP 35V ;3528_;T521B475M035ATE150
R1;33ohm;R;R0805;RESISTOR
